seq:ID,code,name
293,600138,中青旅
294,600177,雅戈尔
295,600251,冠农股份
296,600280,中央商场
297,600306,商业城
298,600319,亚星化学
299,600327,大东方
300,600436,片仔癀
301,600594,益佰制药
302,600640,号百控股
303,600645,中源协和
304,600729,重庆百货
305,600757,长江传媒
306,600827,百联股份
307,600859,王府井
308,600978,宜华生活
309,600998,九州通
310,601010,文峰股份
311,601801,皖新传媒
312,601933,永辉超市
313,603001,奥康国际
314,603008,喜临门
315,603369,今世缘
316,603558,健盛集团
317,603898,好莱客
318,100,TCL 集团
319,529,广弘控股
320,564,供销大集
321,759,中百集团
322,785,武汉中商
323,826,启迪桑德
324,861,海印股份
325,882,华联股份
326,887,中鼎股份
327,2005,德豪润达
328,2024,苏宁云商
329,2029,七 匹 狼
330,2069,獐子岛
331,2081,金 螳 螂
332,2183,怡 亚 通
333,2215,诺 普 信
334,2251,步 步 高
335,2264,新 华 都
336,2269,美邦服饰
337,2271,东方雨虹
338,2277,友阿股份
339,2291,星期六
340,2293,罗莱生活
341,2310,东方园林
342,2327,富安娜
343,2344,海宁皮城
344,2345,潮宏基
345,2397,梦洁股份
346,2419,天虹股份
347,2425,凯撒文化
348,2444,巨星科技
349,2477,雏鹰农牧
350,2488,金固股份
351,2503,搜于特
352,2538,司尔特
353,2561,徐家汇
354,2563,森马服饰
355,2607,亚夏汽车
356,2656,摩登大道
357,2697,红旗连锁
358,300005,探路者
359,300027,华谊兄弟
360,300085,银之杰
361,300131,英唐智控
362,300177,中海达
363,300205,天喻信息
364,300220,金运激光
365,300232,洲明科技
366,300244,迪安诊断
367,300267,尔康制药
368,600143,金发科技
369,600146,商赢环球
370,600346,恒力股份
371,600458,时代新材
372,600516,方大炭素
373,600688,上海石化
374,600869,智慧能源
375,601208,东材科技
376,603077,和邦生物
377,420,吉林化纤
378,687,华讯方舟
379,928,中钢国际
380,2006,精功科技
381,2019,亿帆医药
382,2048,宁波华翔
383,2168,深圳惠程
384,2254,泰和新材
385,2297,博云新材
386,300035,中科电气
387,300095,华伍股份
388,600017,日照港
389,600060,海信电器
390,600190,锦州港
391,600229,城市传媒
392,600336,澳柯玛
393,600690,青岛海尔
394,600735,新华锦
395,601000,唐山港
396,601008,连云港
397,416,民生控股
398,599,青岛双星
399,739,普洛药业
400,2073,软控股份
401,2094,青岛金王
402,2498,汉缆股份
403,2537,海联金汇
404,2545,东方铁塔
405,300001,特锐德
406,300110,华仁药业
407,300183,东软载波
408,300208,恒顺众昇
409,600096,云天化
410,600230,沧州大化
411,600299,安迪苏
412,600309,万华化学
413,600339,中油工程
414,600426,华鲁恒升
415,600618,氯碱化工
416,600810,神马股份
417,601678,滨化股份
418,584,哈工智能
419,611,天首发展
420,755,*ST三维
421,818,方大化工
422,912,*ST天化
423,949,新乡化纤
424,973,佛塑科技
425,2014,永新股份
426,2061,浙江交科
427,2064,华峰氨纶
428,2165,红 宝 丽
429,2246,北化股份
430,2254,泰和新材
431,2408,齐翔腾达
432,2409,雅克科技
433,300343,联创互联
434,600089,特变电工
435,600131,岷江水电
436,600151,航天机电
437,600206,有研新材
438,600220,江苏阳光
439,600295,鄂尔多斯
440,600438,通威股份
441,600550,保变电气
442,600644,乐山电力
443,601012,隆基股份
444,12,南 玻Ａ
445,2006,精功科技
446,2011,盾安环境
447,2083,孚日股份
448,2218,拓日新能
449,2506,协鑫集成
450,300029,天龙光电
451,300316,晶盛机电
452,600082,海泰发展
453,600225,*ST松江
454,600717,天津港
455,600751,天海投资
456,600821,津劝业
457,695,滨海能源
458,897,津滨发展
459,965,天保基建
460,2510,天汽模
461,600127,金健米业
462,600645,中源协和
463,600993,马应龙
464,2022,科华生物
465,2030,达安基因
466,2118,紫鑫药业
467,2642,荣之联
468,300216,千山药机
469,300244,迪安诊断
470,300289,利德曼
471,600247,ST成城
472,600269,赣粤高速
473,600271,航天信息
474,600277,亿利洁能
475,600295,鄂尔多斯
476,600362,江西铜业
477,600390,五矿资本
478,600393,粤泰股份
479,600456,宝钛股份
480,600497,驰宏锌锗
481,600507,方大特钢
482,600528,中铁工业
483,600547,山东黄金
484,600572,康恩贝
485,600577,精达股份
486,600582,天地科技
487,600585,海螺水泥
488,600586,金晶科技
489,600607,上实医药
490,600611,大众交通
491,600614,鹏起科技
492,600662,强生控股
493,600673,东阳光科
494,600676,交运股份
495,600677,航天通信
496,600690,青岛海尔
497,600708,光明地产
498,600725,ST云维
499,600726,华电能源
500,600738,兰州民百
501,600787,中储股份
502,600791,京能置业
503,600807,天业股份
504,600811,东方集团
505,600820,隧道股份
506,600831,广电网络
507,600836,界龙实业
508,600855,航天长峰
509,600886,国投电力
510,600896,览海投资
511,600961,株冶集团
512,600963,岳阳林纸
513,601669,中国电建
514,24,招商地产
515,400,许继电气
516,564,供销大集
517,600,建投能源
518,608,阳光股份
519,698,沈阳化工
520,917,电广传媒
521,2171,楚江新材
522,600012,皖通高速
523,600063,皖维高新
524,600218,全柴动力
525,600237,铜峰电子
526,600255,梦舟股份
527,600318,新力金融
528,600375,华菱星马
529,600418,江淮汽车
